id,question,answer,category,type,difficulty,source_line,tags
138,"""[re-inervation]: time-locked potentials that trail the MUAP . 2/2 early [BLANK] → very slowly conducting "" - What goes in the blank?","re-inervation - "" new neural sprouting small, unmyelinated or thinly myelinated Over time, as the sprout matures and the CV increases, the satellite potential will become an additional phase or serration within the MUAP """,General EMG,Cloze,Easy,240,general_emg;easy
139,"""[cramp discharge] spontaneous repetitive firing of MUAPs assoc w/ [BLANK] (broad dz category) and pregnancy / strenuous exercise "" - What goes in the blank?","cramp discharge - "" Electrolyte abnl, uremia, myxedema prolonged muscle contraction, liver cirrhosis, myotonia congenita, myotonic dystrophy, stiff-man’s syndrome """,Muscle Anatomy,Cloze,Easy,241,muscle_anatomy;easy
140,"""[metabolic disturbances] spontaneous repetitive firing of MUAPs assoc w/ [BLANK] (broad dz category) and pregnancy / strenuous exercise "" - What goes in the blank?","metabolic disturbances - "" Electrolyte abnl, uremia, myxedema prolonged muscle contraction, liver cirrhosis, myotonia congenita, myotonic dystrophy, stiff-man’s syndrome """,Muscle Anatomy,Cloze,Easy,241,muscle_anatomy;easy
141,"""[Recruitment] refers to addition successive MU's to increase force of contraction. can help decide bewtween [BLANK] and [BLANK] diseases "" - What goes in the blank?","Recruitment - "" With normal minimal contraction, a single MUAP fires before a second MUAP is recruited",General EMG,Cloze,Easy,242,general_emg;easy
142,"""[neruopathic] refers to addition successive MU's to increase force of contraction. can help decide bewtween [BLANK] and [BLANK] diseases "" - What goes in the blank?","neruopathic - "" With normal minimal contraction, a single MUAP fires before a second MUAP is recruited",General EMG,Cloze,Easy,242,general_emg;easy
143,"""[myopathic] refers to addition successive MU's to increase force of contraction. can help decide bewtween [BLANK] and [BLANK] diseases "" - What goes in the blank?","myopathic - "" With normal minimal contraction, a single MUAP fires before a second MUAP is recruited",General EMG,Cloze,Easy,242,general_emg;easy
144,""" EMG MUAP recruitment pattern follows: """"The rule of [5's] """" "" - What goes in the blank?","5's - "" The onset frequency of the first MUAP begins at approximately 5 Hz . To generate more force, the FR and recruitment of more motor units must be increased. When the FR reaches approximately 10 Hz , a second MUAP begins at approximately 5 Hz . When the first MUAP reaches a rate of 15 Hz , the second",General EMG,Cloze,Easy,260,general_emg;easy
145,"""[Early recruitment::recruitment pattern] most commonly seen in myopathic conditions that result in a loss of muscle fibers . "" - What goes in the blank?","Early recruitment::recruitment pattern - "" This loss causes less force to be generated per motor unit. Thus, more motor units must now be called upon abnormally early firing of many MUAPs with a mild contraction """,Muscle Anatomy,Cloze,Easy,261,muscle_anatomy;easy
146,"""[Reduced recruitment::recruitment pattern] most commonly seen in neuropathic conditions "" - What goes in the blank?","Reduced recruitment::recruitment pattern - "" Refers to the firing of fewer than expected MUAPs with even a maximal contraction fire at Higher frequency (30hz) """"fewere motor units to recruit"""" """,General EMG,Cloze,Easy,262,general_emg;easy
147,""" this is a [Monopolar] needle electrode "" - What goes in the blank?","Monopolar - "" 22- to 30-gauge Teflon-coated needle with an exposed tip requres seperate surface electrode records more abnormal activity """,Plexus Anatomy,Cloze,Easy,264,plexus_anatomy;easy
148,"""this is a [Concentric] needle electrode "" - What goes in the blank?","Concentric - "" Beveled tip: Unidirectional recording 24- to 26-gauge needle (reference) with a bare inner wire Less interference """,Plexus Anatomy,Cloze,Easy,265,plexus_anatomy;easy
149,"""Monopolar needle advantages (PM&R) Records more [positive sharp waves ( more abnormal activity in general)] and larger [BLANK] "" - What goes in the blank?","positive sharp waves ( more abnormal activity in general) - ""record from entire area around needle tip as opposed to just fibers facing the bevel A """,Plexus Anatomy,Cloze,Easy,266,plexus_anatomy;easy
150,"""Monopolar needle advantages (PM&R) Records more [MUAP's] and larger [BLANK] "" - What goes in the blank?","MUAP's - ""record from entire area around needle tip as opposed to just fibers facing the bevel A """,Plexus Anatomy,Cloze,Easy,266,plexus_anatomy;easy
151,Concentric needle advantages less [interference] - What goes in the blank?,"interference - ""the needle serves also as the reference """,General EMG,Cloze,Easy,267,general_emg;easy
152,""" [complex repetetive discharge::EMG wave form]: results from [BLANK] muscle fibers that are [BLANK] by [BLANK] "" - What goes in the blank?","complex repetetive discharge::EMG wave form - "" from axons of a neighboring motor unit ETIOLOGY ( broad ddx ) Nerve disorders : Anterior horn cell disease, chronic radiculopathy, peripheral neuropathy Muscle disorders : Polymyositis, dermatomyositis, muscular dystrophies , limb-girdle dystrophy, myxedema Normal variant When these fibers become ",Muscle Anatomy,Cloze,Easy,268,muscle_anatomy;easy
153,""" [denervated]: results from [BLANK] muscle fibers that are [BLANK] by [BLANK] "" - What goes in the blank?","denervated - "" from axons of a neighboring motor unit ETIOLOGY ( broad ddx ) Nerve disorders : Anterior horn cell disease, chronic radiculopathy, peripheral neuropathy Muscle disorders : Polymyositis, dermatomyositis, muscular dystrophies , limb-girdle dystrophy, myxedema Normal variant When these fibers become ",Muscle Anatomy,Cloze,Easy,268,muscle_anatomy;easy
154,""" [reinnervated]: results from [BLANK] muscle fibers that are [BLANK] by [BLANK] "" - What goes in the blank?","reinnervated - "" from axons of a neighboring motor unit ETIOLOGY ( broad ddx ) Nerve disorders : Anterior horn cell disease, chronic radiculopathy, peripheral neuropathy Muscle disorders : Polymyositis, dermatomyositis, muscular dystrophies , limb-girdle dystrophy, myxedema Normal variant When these fibers become ",Muscle Anatomy,Cloze,Easy,268,muscle_anatomy;easy
155,""" [collateral sprouting]: results from [BLANK] muscle fibers that are [BLANK] by [BLANK] "" - What goes in the blank?","collateral sprouting - "" from axons of a neighboring motor unit ETIOLOGY ( broad ddx ) Nerve disorders : Anterior horn cell disease, chronic radiculopathy, peripheral neuropathy Muscle disorders : Polymyositis, dermatomyositis, muscular dystrophies , limb-girdle dystrophy, myxedema Normal variant When these fibers become ",Muscle Anatomy,Cloze,Easy,268,muscle_anatomy;easy
156,[fasciculations] EMG finding are associated with [BLANK] diseases (broad category) - What goes in the blank?,"fasciculations - ""assoc with ant. horn cell disease: Poliomyelitis, spinal muscular atrophy, amyotrophic lateral sclerosis and progressive muscular atrophy ETIOLOGY Nerve disorders : Anterior horn cell disease, tetany, Creutzfeldt–Jakob syndrome, radiculopathy , mononeuropathy Metabolic disorders : Thyrotoxicosis , ",General EMG,Cloze,Easy,270,general_emg;easy
157,[Anterior horn cell] EMG finding are associated with [BLANK] diseases (broad category) - What goes in the blank?,"Anterior horn cell - ""assoc with ant. horn cell disease: Poliomyelitis, spinal muscular atrophy, amyotrophic lateral sclerosis and progressive muscular atrophy ETIOLOGY Nerve disorders : Anterior horn cell disease, tetany, Creutzfeldt–Jakob syndrome, radiculopathy , mononeuropathy Metabolic disorders : Thyrotoxicosis , ",General EMG,Cloze,Easy,270,general_emg;easy
158,""" Radiculopathy (sensory vs motor) most commonly presents as: [pure sensory] complaints, [BLANK] complaints, or [BLANK] complaints """"in descending order"""" "" - What goes in the blank?","pure sensory - "" as each dermatome is innervated by one spinal nerve root due to the larger size of the sensory fibers, rendering them more prone to injury """,General EMG,Cloze,Easy,271,general_emg;easy
159,""" Radiculopathy (sensory vs motor) most commonly presents as: [sensori-motor] complaints, [BLANK] complaints, or [BLANK] complaints """"in descending order"""" "" - What goes in the blank?","sensori-motor - "" as each dermatome is innervated by one spinal nerve root due to the larger size of the sensory fibers, rendering them more prone to injury """,General EMG,Cloze,Easy,271,general_emg;easy
160,""" Radiculopathy (sensory vs motor) most commonly presents as: [pure motor] complaints, [BLANK] complaints, or [BLANK] complaints """"in descending order"""" "" - What goes in the blank?","pure motor - "" as each dermatome is innervated by one spinal nerve root due to the larger size of the sensory fibers, rendering them more prone to injury """,General EMG,Cloze,Easy,271,general_emg;easy
161,"""Radiculopathy A pure sensory injury would demonstrate a [negative] EMG . "" - What goes in the blank?","negative - "" Sensory NCS would be normal due to sparing of the DRG""",General EMG,Cloze,Easy,273,general_emg;easy
162,Unncommon Radiculopathy causes H —[Herpes zoster] I —[BLANK] M —[BLANK] A —[BLANK] D —[BLANK] A —[BLANK] M —[BLANK] - What goes in the blank?,"Herpes zoster - infalmmatory: Tuberculosis (TB), Lyme disease, HIV, syphilis, cryptococcus, and sarcoidosis Arachnoiditis: Myelogram, surgery, steroids, and anesthesia Mass in the spine: Meningioma, neurofibroma, leukemia, lipoma, synovial cysts, and hematoma",General EMG,Cloze,Easy,275,general_emg;easy
163,Unncommon Radiculopathy causes H —[Inflammatory::whole category] I —[BLANK] M —[BLANK] A —[BLANK] D —[BLANK] A —[BLANK] M —[BLANK] - What goes in the blank?,"Inflammatory::whole category - infalmmatory: Tuberculosis (TB), Lyme disease, HIV, syphilis, cryptococcus, and sarcoidosis Arachnoiditis: Myelogram, surgery, steroids, and anesthesia Mass in the spine: Meningioma, neurofibroma, leukemia, lipoma, synovial cysts, and hematoma",General EMG,Cloze,Easy,275,general_emg;easy
164,Unncommon Radiculopathy causes H —[Metastasis] I —[BLANK] M —[BLANK] A —[BLANK] D —[BLANK] A —[BLANK] M —[BLANK] - What goes in the blank?,"Metastasis - infalmmatory: Tuberculosis (TB), Lyme disease, HIV, syphilis, cryptococcus, and sarcoidosis Arachnoiditis: Myelogram, surgery, steroids, and anesthesia Mass in the spine: Meningioma, neurofibroma, leukemia, lipoma, synovial cysts, and hematoma",General EMG,Cloze,Easy,275,general_emg;easy
165,Unncommon Radiculopathy causes H —[Arachnoiditis] I —[BLANK] M —[BLANK] A —[BLANK] D —[BLANK] A —[BLANK] M —[BLANK] - What goes in the blank?,"Arachnoiditis - infalmmatory: Tuberculosis (TB), Lyme disease, HIV, syphilis, cryptococcus, and sarcoidosis Arachnoiditis: Myelogram, surgery, steroids, and anesthesia Mass in the spine: Meningioma, neurofibroma, leukemia, lipoma, synovial cysts, and hematoma",General EMG,Cloze,Easy,275,general_emg;easy
166,Unncommon Radiculopathy causes H —[Diabetes mellitus] I —[BLANK] M —[BLANK] A —[BLANK] D —[BLANK] A —[BLANK] M —[BLANK] - What goes in the blank?,"Diabetes mellitus - infalmmatory: Tuberculosis (TB), Lyme disease, HIV, syphilis, cryptococcus, and sarcoidosis Arachnoiditis: Myelogram, surgery, steroids, and anesthesia Mass in the spine: Meningioma, neurofibroma, leukemia, lipoma, synovial cysts, and hematoma",General EMG,Cloze,Easy,275,general_emg;easy
167,Unncommon Radiculopathy causes H —[Abscess] I —[BLANK] M —[BLANK] A —[BLANK] D —[BLANK] A —[BLANK] M —[BLANK] - What goes in the blank?,"Abscess - infalmmatory: Tuberculosis (TB), Lyme disease, HIV, syphilis, cryptococcus, and sarcoidosis Arachnoiditis: Myelogram, surgery, steroids, and anesthesia Mass in the spine: Meningioma, neurofibroma, leukemia, lipoma, synovial cysts, and hematoma",General EMG,Cloze,Easy,275,general_emg;easy
168,Unncommon Radiculopathy causes H —[Mass] I —[BLANK] M —[BLANK] A —[BLANK] D —[BLANK] A —[BLANK] M —[BLANK] - What goes in the blank?,"Mass - infalmmatory: Tuberculosis (TB), Lyme disease, HIV, syphilis, cryptococcus, and sarcoidosis Arachnoiditis: Myelogram, surgery, steroids, and anesthesia Mass in the spine: Meningioma, neurofibroma, leukemia, lipoma, synovial cysts, and hematoma",General EMG,Cloze,Easy,275,general_emg;easy
169,""" role of NCS in Radiculopathy is to evaluate [superimposed pathology] to explain the patient’s symptoms "" - What goes in the blank?","superimposed pathology - ""NCS portion of EDX studies are rarely abnormal in cases of radiculopathies """,General EMG,Cloze,Easy,277,general_emg;easy
170,""" H-reflex: Possibly abnormal in an [S1] radiculopathy but not pathognomonic "" - What goes in the blank?",S1 - primarily distinguishes L5 from S1 radic,General EMG,Cloze,Easy,279,general_emg;easy
171,""" F-waves: [Not::are / are not] sensitive / specific for a radiculopathy. "" - What goes in the blank?","Not::are / are not - "" Muscles have more than one root innervation, which can result in a normal latency """,Muscle Anatomy,Cloze,Easy,280,muscle_anatomy;easy
172,"""EMG for Dx r adiculopathy Ideally, [6] muscles ( [BLANK] peripheral muscles + [BLANK] ) should be evaluated "" - What goes in the blank?","6 - "" if one of the six muscles is abnormal, then further muscles should be evaluated. A priority is placed on including weak muscles in the evaluation """,Muscle Anatomy,Cloze,Easy,282,muscle_anatomy;easy
173,"""EMG for Dx r adiculopathy Ideally, [5] muscles ( [BLANK] peripheral muscles + [BLANK] ) should be evaluated "" - What goes in the blank?","5 - "" if one of the six muscles is abnormal, then further muscles should be evaluated. A priority is placed on including weak muscles in the evaluation """,Muscle Anatomy,Cloze,Easy,282,muscle_anatomy;easy
174,"""EMG for Dx r adiculopathy Ideally, [paraspinals] muscles ( [BLANK] peripheral muscles + [BLANK] ) should be evaluated "" - What goes in the blank?","paraspinals - "" if one of the six muscles is abnormal, then further muscles should be evaluated. A priority is placed on including weak muscles in the evaluation """,Muscle Anatomy,Cloze,Easy,282,muscle_anatomy;easy
175,""" EMG Radiculopathy Dx Fibs and Sharps may NOT be found if: the lesion is: [demyelinating] [BLANK] [BLANK] incomplete or missed by random sampling "" - What goes in the blank?",demyelinating - recall that fibs and sharps are assoc with axonal loss EMG evaluates muscle fibers; not sensory nerves nl. if reinnervation already occured,Muscle Anatomy,Cloze,Easy,284,muscle_anatomy;easy
176,""" EMG Radiculopathy Dx Fibs and Sharps may NOT be found if: the lesion is: [pure sensory] [BLANK] [BLANK] incomplete or missed by random sampling "" - What goes in the blank?",pure sensory - recall that fibs and sharps are assoc with axonal loss EMG evaluates muscle fibers; not sensory nerves nl. if reinnervation already occured,Muscle Anatomy,Cloze,Easy,284,muscle_anatomy;easy
177,""" EMG Radiculopathy Dx Fibs and Sharps may NOT be found if: the lesion is: [chronic] [BLANK] [BLANK] incomplete or missed by random sampling "" - What goes in the blank?",chronic - recall that fibs and sharps are assoc with axonal loss EMG evaluates muscle fibers; not sensory nerves nl. if reinnervation already occured,Muscle Anatomy,Cloze,Easy,284,muscle_anatomy;easy
178,""" Somatosensory Evoked Potential study evaluates [time-locked] responses of the nervous system to an [BLANK] . SSEP's represent the function of the [BLANK] pathway using afferent potentials "" - What goes in the blank?","time-locked - "" theoretically evaluate the sensory component of the PNS and CNS . DX dz of CNS (brain, brainstem, spinal cord) as well as of dorsal nerve roots and peripheral nerves Abnormal results present immediately """,Plexus Anatomy,Cloze,Easy,285,plexus_anatomy;easy
179,""" Somatosensory Evoked Potential study evaluates [external stimulus] responses of the nervous system to an [BLANK] . SSEP's represent the function of the [BLANK] pathway using afferent potentials "" - What goes in the blank?","external stimulus - "" theoretically evaluate the sensory component of the PNS and CNS . DX dz of CNS (brain, brainstem, spinal cord) as well as of dorsal nerve roots and peripheral nerves Abnormal results present immediately """,Plexus Anatomy,Cloze,Easy,285,plexus_anatomy;easy
180,""" Somatosensory Evoked Potential study evaluates [DCML] responses of the nervous system to an [BLANK] . SSEP's represent the function of the [BLANK] pathway using afferent potentials "" - What goes in the blank?","DCML - "" theoretically evaluate the sensory component of the PNS and CNS . DX dz of CNS (brain, brainstem, spinal cord) as well as of dorsal nerve roots and peripheral nerves Abnormal results present immediately """,Plexus Anatomy,Cloze,Easy,285,plexus_anatomy;easy
181,""" SSEP's initiated by a repetitive [submaximal::intensity] stimulation of a sensory nerve, mixed nerve, or dermatome, and is recorded from the [BLANK] or [BLANK] "" - What goes in the blank?","submaximal::intensity - "" theoretically evaluate the sensory component of the PNS and CNS . DX dz of CNS (brain, brainstem, spinal cord) as well as of dorsal nerve roots and peripheral nerves Abnormal results present immediately """,Plexus Anatomy,Cloze,Easy,286,plexus_anatomy;easy
182,""" SSEP's initiated by a repetitive [spine] stimulation of a sensory nerve, mixed nerve, or dermatome, and is recorded from the [BLANK] or [BLANK] "" - What goes in the blank?","spine - "" theoretically evaluate the sensory component of the PNS and CNS . DX dz of CNS (brain, brainstem, spinal cord) as well as of dorsal nerve roots and peripheral nerves Abnormal results present immediately """,Plexus Anatomy,Cloze,Easy,286,plexus_anatomy;easy
183,""" SSEP's initiated by a repetitive [scalp] stimulation of a sensory nerve, mixed nerve, or dermatome, and is recorded from the [BLANK] or [BLANK] "" - What goes in the blank?","scalp - "" theoretically evaluate the sensory component of the PNS and CNS . DX dz of CNS (brain, brainstem, spinal cord) as well as of dorsal nerve roots and peripheral nerves Abnormal results present immediately """,Plexus Anatomy,Cloze,Easy,286,plexus_anatomy;easy
184,""" Somatosensory evoked potential ( SSEP ) monitors for problems such as (a) [peripheral nerve injuries] , (b) [BLANK] , or (c) [BLANK] "" - What goes in the blank?","peripheral nerve injuries - "" during spinal cord surgery, loss of tibial nerve potentials with preservation of median nerve potentials can indicate nerve injury at the level of intervention. Anesthesia will affect SSEP potentials in both the upper and lower limbs """,Plexus Anatomy,Cloze,Easy,287,plexus_anatomy;easy
185,""" Somatosensory evoked potential ( SSEP ) monitors for problems such as (a) [CNS lesions (eg. MS)] , (b) [BLANK] , or (c) [BLANK] "" - What goes in the blank?","CNS lesions (eg. MS) - "" during spinal cord surgery, loss of tibial nerve potentials with preservation of median nerve potentials can indicate nerve injury at the level of intervention. Anesthesia will affect SSEP potentials in both the upper and lower limbs """,Plexus Anatomy,Cloze,Easy,287,plexus_anatomy;easy
186,""" Somatosensory evoked potential ( SSEP ) monitors for problems such as (a) [intraoperative monitoring (eg. spinal surgery)] , (b) [BLANK] , or (c) [BLANK] "" - What goes in the blank?","intraoperative monitoring (eg. spinal surgery) - "" during spinal cord surgery, loss of tibial nerve potentials with preservation of median nerve potentials can indicate nerve injury at the level of intervention. Anesthesia will affect SSEP potentials in both the upper and lower limbs """,Plexus Anatomy,Cloze,Easy,287,plexus_anatomy;easy
187,"""SSEP's [are not::are / are not] considered useful for radiculopathies "" - What goes in the blank?","are not::are / are not - "" The long pathway monitored can mask focal lesions between the recording sites, and It monitors sensory pathways and proximal demyelinating injuries """,Plexus Anatomy,Cloze,Easy,290,plexus_anatomy;easy
188,""" Chronology of Electrodiagnostic Findings Time : [0] days Abnormality : Decreased [BLANK] Decreased [BLANK] Prolonged [BLANK] Abnormal [BLANK] "" - What goes in the blank?","0 - "" TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous activity occurs first i",Muscle Anatomy,Cloze,Easy,291,muscle_anatomy;easy
189,""" Chronology of Electrodiagnostic Findings Time : [recruitment] days Abnormality : Decreased [BLANK] Decreased [BLANK] Prolonged [BLANK] Abnormal [BLANK] "" - What goes in the blank?","recruitment - "" TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous activity occurs first i",Muscle Anatomy,Cloze,Easy,291,muscle_anatomy;easy
190,""" Chronology of Electrodiagnostic Findings Time : [recruitment interval] days Abnormality : Decreased [BLANK] Decreased [BLANK] Prolonged [BLANK] Abnormal [BLANK] "" - What goes in the blank?","recruitment interval - "" TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous activity occurs first i",Muscle Anatomy,Cloze,Easy,291,muscle_anatomy;easy
191,""" Chronology of Electrodiagnostic Findings Time : [F-wave] days Abnormality : Decreased [BLANK] Decreased [BLANK] Prolonged [BLANK] Abnormal [BLANK] "" - What goes in the blank?","F-wave - "" TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous activity occurs first i",Muscle Anatomy,Cloze,Easy,291,muscle_anatomy;easy
192,""" Chronology of Electrodiagnostic Findings Time : [H-reflex] days Abnormality : Decreased [BLANK] Decreased [BLANK] Prolonged [BLANK] Abnormal [BLANK] "" - What goes in the blank?","H-reflex - "" TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous activity occurs first i",Muscle Anatomy,Cloze,Easy,291,muscle_anatomy;easy
193,""" Chronology of Electrodiagnostic Findings Time: [4] days Abnormality: Decreased [BLANK] "" - What goes in the blank?","4 - "" (approximately 50% compared to opposite side) in severe cases TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in se",Muscle Anatomy,Cloze,Easy,292,muscle_anatomy;easy
194,""" Chronology of Electrodiagnostic Findings Time: [CMAP amplitude] days Abnormality: Decreased [BLANK] "" - What goes in the blank?","CMAP amplitude - "" (approximately 50% compared to opposite side) in severe cases TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in se",Muscle Anatomy,Cloze,Easy,292,muscle_anatomy;easy
195,""" Chronology of Electrodiagnostic Findings Time: [7] days Abnormality: [BLANK] "" - What goes in the blank?","7 - "" They can be normal if: They become reinnervated The posterior primary rami are spared They can be the only abnormal finding 10%–30% of the time TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound mo",Muscle Anatomy,Cloze,Easy,293,muscle_anatomy;easy
196,""" Chronology of Electrodiagnostic Findings Time: [Abnormal spontaneous activity in the paraspinals::EMG finding and location] days Abnormality: [BLANK] "" - What goes in the blank?","Abnormal spontaneous activity in the paraspinals::EMG finding and location - "" They can be normal if: They become reinnervated The posterior primary rami are spared They can be the only abnormal finding 10%–30% of the time TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound mo",Muscle Anatomy,Cloze,Easy,293,muscle_anatomy;easy
197,""" Chronology of Electrodiagnostic Findings Time: [14] days Abnormality: [BLANK] "" - What goes in the blank?","14 - "" TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous activity occurs first i",Muscle Anatomy,Cloze,Easy,294,muscle_anatomy;easy
198,""" Chronology of Electrodiagnostic Findings Time: [Abnormal spontaneous activity in the limbs::EMG finding and location] days Abnormality: [BLANK] "" - What goes in the blank?","Abnormal spontaneous activity in the limbs::EMG finding and location - "" TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous activity occurs first i",Muscle Anatomy,Cloze,Easy,294,muscle_anatomy;easy
199,""" Chronology of Electrodiagnostic Findings Time: [21] days Abnormality: [BLANK] "" - What goes in the blank?","21 - "" TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous activity occurs first i",Muscle Anatomy,Cloze,Easy,295,muscle_anatomy;easy
200,""" Chronology of Electrodiagnostic Findings Time: [Abnormal activity present in both the paraspinals and limbs::EMG finding and llocation] days Abnormality: [BLANK] "" - What goes in the blank?","Abnormal activity present in both the paraspinals and limbs::EMG finding and llocation - "" TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous activity occurs first i",Muscle Anatomy,Cloze,Easy,295,muscle_anatomy;easy
201,""" Chronology of Electrodiagnostic Findings Time: [5–6 weeks::2 #'s] Abnormality: [BLANK] "" - What goes in the blank?","5–6 weeks::2 #'s - "" TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous activity occurs first i",Muscle Anatomy,Cloze,Easy,296,muscle_anatomy;easy
202,""" Chronology of Electrodiagnostic Findings Time: [Reinnervation begins / polyphasic::EMG finding] Abnormality: [BLANK] "" - What goes in the blank?","Reinnervation begins / polyphasic::EMG finding - "" TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous activity occurs first i",Muscle Anatomy,Cloze,Easy,296,muscle_anatomy;easy
203,""" Chronology of Electrodiagnostic Findings Time: [6 months to 1 year::2 #'s] Abnormality: [BLANK] "" - What goes in the blank?","6 months to 1 year::2 #'s - "" Reinnervation complete TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous ",Muscle Anatomy,Cloze,Easy,297,muscle_anatomy;easy
204,""" Chronology of Electrodiagnostic Findings Time: [I ncreased amplitude from reinnervated motor unit] Abnormality: [BLANK] "" - What goes in the blank?","I ncreased amplitude from reinnervated motor unit - "" Reinnervation complete TIME ABNORMALITY 0 Decreased recruitment Decreased recruitment interval Prolonged F wave Abnormal H-reflex (S1 radiculopathy) 4 days Decreased compound motor action potential amplitude (approximately 50% compared to opposite side) in severe cases 1 week Abnormal spontaneous ",Muscle Anatomy,Cloze,Easy,297,muscle_anatomy;easy
205,Etiologies Demeylinating Injury [Focal compression] causing a transient ischemia or edema with [BLANK] Chronic diseases causing degradation of myelin leading to [BLANK] - What goes in the blank?,"Focal compression - ""myelin invaginations """,General EMG,Cloze,Easy,298,general_emg;easy
206,Etiologies Demeylinating Injury [paranodal intussusceptions] causing a transient ischemia or edema with [BLANK] Chronic diseases causing degradation of myelin leading to [BLANK] - What goes in the blank?,"paranodal intussusceptions - ""myelin invaginations """,General EMG,Cloze,Easy,298,general_emg;easy
207,Etiologies Demeylinating Injury [peripheral neuropathies] causing a transient ischemia or edema with [BLANK] Chronic diseases causing degradation of myelin leading to [BLANK] - What goes in the blank?,"peripheral neuropathies - ""myelin invaginations """,General EMG,Cloze,Easy,298,general_emg;easy
208,""" NCS of demeylinating injuries Latency is typicaly [prolonged] and Amplitude is typically [BLANK]"" - What goes in the blank?","prolonged - "" NCS Latency: Prolonged Conduction velocity: Decreased Temporal dispersion: Increased Amplitude: May decrease secondary to temporal dispersion and phase cancellation Amplitude caveat : may be decreased due to temporal dispersion or conduction block """,EMG Principles,Cloze,Easy,299,emg_principles;easy
209,""" NCS of demeylinating injuries Latency is typicaly [normal] and Amplitude is typically [BLANK]"" - What goes in the blank?","normal - "" NCS Latency: Prolonged Conduction velocity: Decreased Temporal dispersion: Increased Amplitude: May decrease secondary to temporal dispersion and phase cancellation Amplitude caveat : may be decreased due to temporal dispersion or conduction block """,EMG Principles,Cloze,Easy,299,emg_principles;easy
210,""" Radiculopathy In general, CMAP in NCS will be normal * However, in a [severe radicular] lesion it may be affected "" - What goes in the blank?","severe radicular - ""(will be distal to the anterior horn cell) axonal loss can result in Wallerian degeneration focal demeylination would cuase a conduction block only text book answer: in clinical practice it is often abnormal """,EMG Principles,Cloze,Easy,520,emg_principles;easy
